Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,U.S. (Guam),36.90194,-89.82361,4/2011,1,0,Isl,"Guam News. ""DPHSS Reports Confirmed Case of Measles in 2 Year Old Boy Recently Returned from PI."" Pacific News Center April 29 2011.",http://www.pacificnewscenter.com/index.php?optioncom_content&viewarticle&id13693:dphss-reports-confirmed-case-of-measles-in-2-year-old-boy&catid45:guam-news&Itemid156
Measles,Measles,U.S. (Indiana),39.1763,-86.53437,3/2013,1,0,Isl,"The Journal Gazette. ""Measles case confirmed at IU Bloomington."" March 28 2013.",http://www.journalgazette.net/article/20130329/BLOGS01/130329345
Measles,Measles,U.S. (Indiana),39.18514,-86.49965,8/2013,1,0,Isl,"Kokomo Perspective. ""Measles confirmed in Monroe County."" August 29 2013.",http://kokomoperspective.com/news/measles-confirmed-in-monroe-county/article_aff7e740-10f4-11e3-95a9-0019bb2963f4.html
Measles,Measles,U.S. (Iowa),41.878003,-93.097702,4/2009,1,0,Isl,"Iowa Department of Public Health. ""Iowa Health Officials Identify Case of Measles in Spencer."" KMEG 14 (Spencer) April 16 2009.",http://www.kmeg14.com/Global/story.asp?S10199237&navmenu609_9_1
Measles,Measles,U.S. (Iowa),41.878003,-93.097702,5/2011,1,0,Isl,"Measles case confirmed in central Iowa emergency declared page 1. AboveTopSecret.com - Conspiracy Theories UFOs Paranormal Political Madness and other ""Alternative Topics"".",http://www.abovetopsecret.com/forum/thread708291/pg1
Measles,Measles,U.S. (Maine),45.253783,-69.445469,7/2011,1,0,Isl,"Maine Government News ""Potential Exposure to Measles in Southern Maine"" July 22 2011.",http://www.maine.gov/tools/whatsnew/index.php?topicPortal+News&id272233&varticle-2008
Measles,Measles,U.S. (Michigan),44.26413,-85.63602,1/2013-9/2013,2,0,Isl,"WNEM.com. ""Measles Cases in Michigan Nationally concern health officials."" September 23 2013. ",http://www.wnem.com/story/23504322/measles-cases-in-michigan-nationally-concern-health-officials
Measles,Measles,U.S. (Michigan),44.314844,-85.602364,7/2011,1,0,Isl,"Iannelli Vincent . ""Measles Case Count."" About Pediatrics - Pediatric Parenting and Medical Advice.",http://pediatrics.about.com/b/2011/04/07/measles-case-count.htm
Measles,Measles,U.S. (Michigan),42.59219,-83.33619,1/2012,1,0,Isl,"Clickon Detroit. ""Measles case confirmed in Oakland County."" January 23 2012",http://www.clickondetroit.com/lifestyle/health/Measles-case-confirmed-in-Oakland-County/-/2300442/8488876/-/s9cmc3/-/
Measles,Measles,U.S. (New Jersey),40.21705,-74.74294,6/2013,1,0,Isl,"nj.com. ""N.J. Health Department warns of measles case in Somerset County."" June 13 2013.",http://www.nj.com/politics/index.ssf/2013/06/nj_health_department_warns_of_measles_case_in_somerset_county.html
Measles,Measles,U.S. (New Jersey),40.56811,-74.59502,3/2013,1,0,Isl,"News 12 Bronx. ""DOH issues public health alert in possible measles case at Somerset Medical Center."" March 8 2013.",http://bronx.news12.com/news/doh-issues-public-health-alert-in-possible-measles-case-at-somerset-medical-center-1.4781255?qr1
Measles,Measles,U.S. (New Mexico),34.52452,-105.87962,6/2012,1,0,Isl,"Diven Bill. ""Measles case reported in northern N.M."" Kasa. June 28 2012.",http://www.kasa.com/dpps/news/news_health/measles-case-reported-in-northern-nm_4220132
Measles,Measles,U.S. (New Mexico),34.97273,-105.032364,9/2011,1,0,Isl,"Griswald Shaun. KOB.com ""NM officials: Baby in Lincoln County has measles "" September 17 2011.",http://www.kob.com/article/stories/S2288730.shtml
Measles,Measles,U.S. (New York Ulster County),41.86438,-74.32843,9/2012,1,0,Isl,"WABC ""Confirmed case of measles in Ulster County"" September 21 2012.",http://abclocal.go.com/wabc/story?sectionnews/local/northern_suburbs&id8820413
Measles,Measles,U.S. (New York),40.714353,-74.15973,5/2011,1,0,Isl,"Staff Reporter. Official Wire ""RPI Student Confirmed To Have Measles"" May 18 2011.",http://www.officialwire.com/main.php?actionposted_news&rid53181&catid60
Measles,Measles,U.S. (New York),40.714353,-74.025973,5/2011,1,0,Isl,"New York State Department of Health ""State Health Department Confirms Measles Case in Capital Region"" May 17 2011.",http://www.health.ny.gov/press/releases/2011/2011-05-17_confirms_measles.htm
Measles,Measles,U.S. (New York),40.714353,-73.005973,7/2011,1,0,Isl,"NY 1 News ""DOH: Higher Number Of Measles Cases Reported"" June 8 2011.",http://www.ny1.com/content/top_stories/140597/doh--higher-number-of-measles-cases-reported
Measles,Measles,U.S. (North Carolina),35.76978,-78.9941,4/2013,3,0,Isl,"CDC Morbidity and Mortality Weekly Report. ""Notes from the Field: Measles Outbreak Associated with a Traveler Returning from India- North Carolina April-May 2013."" September 13 2013.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6236a6.htm
Measles,Measles,U.S. (Oregon),44.84464,-122.59274,1/2013,1,0,Isl,"KATU ""Case of measles reported in Marion County"" January 24 2013.",http://www.katu.com/news/local/Case-of-measles-reported-in-Marion-County-188290191.html
Measles,Measles,U.S. (Pennsylvania Bucks County),40.4108,-75.24791,5/2011,4,0,Isl,"Center for Infectious Disease Research and Policy ""Pennsylvania officials warn about measles exposures"" May 6 2011.",http://www.cidrap.umn.edu/cidrap/content/other/news/may0611measles.html
Measles,Measles,U.S. (Portland Oregon),45.52346,-122.68148,8/2013,1,0,Isl,"""Confirmed measles case in Portland metro"" KOIN News August 24 2013.",http://www.koin.com/2013/08/23/confirmed-measles-case-in-portland-metro/
Measles,Measles,U.S. (Rhode Island),41.580095,-71.477429,4/2011,1,0,Isl,"Allen Jane. ""New Jersey Northeast States on Alert for Measles From Sick Italian Traveler ."" ABC News April 29 2011.",http://abcnews.go.com/Health/w_ParentingResource/measles-outbreak-jersey-rhode-island-warn-people-watch/story?id13493663
Measles,Measles,U.S. (Seminole County Florida),28.71317,-81.20782,2/2013-3/2013,2,0,Isl,"Comas Martin E. ""Seminole County confirms second case of measles."" Orlando Sentinel. March 15 2013.",http://www.orlandosentinel.com/news/local/breakingnews/os-measles-seminole-health-201303150292076.story
Measles,Measles,U.S. (South Florida),26.1901,-80.36586,3/2013,1,0,Isl,"WSVN-TV. ""1 So. Fla. measles case reported."" March 28 2013.",http://www.wsvn.com/news/articles/local/21010221063363/1-so-fla-measles-case-reported/
Measles,Measles,U.S. (Texas),31.968599,-99.901813,4/2011,1,0,Isl,"Houston Chronicle. ""Houston sees its first case of measles in years."" Chron (Houston ) April 2 2011.",http://www.chron.com/disp/story.mpl/metropolitan/7503980.html
