WASP-13, Lynx,  10.42, 509, G1V, 1.144, 1.097, 5826, 1
HD80606, UrsaMajor,  8.93, 579, G5V, 0.859, 0.921, 5370, 1
HD81040, Leo,  7.71, 108, G2V, 0.958, 0.952, 5623, 1
41Lyncis, UrsaMajor,  5.41, 280, K0III-IV, 2.128, 12.865, 4753, 1
HD82943, Hydra,  6.54, 90, G0V, 1.175, 1.124, 5874, 2
HD82886, LeoMinor,  7.78, 409, K0III, 1.056, 4.785, 5112, 1
HD83443, Vela,  8.24, 134, K0V, 0.792, 1.045, 5462, 1
HD85390, Vela,  8.55, 106, K1.5V, 0.758, 0.797, 4877, 1
Gliese370, Vela,  7.67, 36, K5V, 0.687, 0.752, 4715, 1
WASP-19, Vela,  12.28, 817, G8V, 0.947, 0.928, 5456, 1
HD86081, Sextans,  8.74, 311, F8V, 1.214, 1.211, 6028, 1
HD86226, Hydra,  7.93, 148, G2V, 1.019, 1.014, 5845, 1
HD86264, Hydra,  7.42, 224, F7V, 1.423, 1.880, 6214, 1
HIP49067, Sextans,  9.86, 139, K3V, 0.744, 0.659, 4746, 2
HD87883, LeoMinor,  7.56, 59, K0V, 0.820, 0.763, 4976, 1
HD88133, Leo,  8.07, 266, G5IV, 1.204, 1.934, 5494, 1
BD+20°2457, Leo,  9.75, 516, K2II, 2.415, 49.492, 4127, 1
HD89307, Leo,  7.01, 106, G0V, 1.036, 1.072, 5834, 1
WASP-43, Sextans,  12.40, 247, K7V, 0.576, 0.932, 4404, 1
Gamma1Leonis, Leo,  2.12, 130, K1IIIb, 1.226, 31.880, 4391, 1
HD89744, UrsaMajor,  5.74, 129, F7V, 1.402, 2.145, 6166, 1
HD233731, UrsaMajor,  9.76, 268, G5V, 0.923, 1.040, 5302, 1
24Sextantis, Sextans,  6.44, 253, G5III, 1.545, 4.902, 5098, 2
HD90156, Hydra,  6.95, 73, G5V, 0.837, 0.717, 5671, 1
WASP-54, Leo,  13.78, 613, K5V, 0.831, 0.666, 4733, 1
WASP-66, Antlia,  11.55, 1254, F4V, 1.332, 1.747, 6578, 1
OGLE-TR-211, Carina,  14.85, 5286, F8V, 1.301, 1.784, 6280, 1
HD92788, Sextans,  7.11, 116, G5V, 1.064, 0.992, 5559, 1
